"id";"price";"rent";"area";"price_per_sq_m";"no_rooms";"building_type";"no_floor";"building_floors_num";"windows_type";"construction_status";"building_ownership";"lat";"long";"district";"built_year";"url";"rent_per_sq_m";"lift";"balcony";"garage";"basement";"separate_kitchen";"usable_room";"air_conditioning";"terrace";"garden";"two_storey";"is_primary";"date_scraped"
4062682895583317981;822000.0;692.0;46.41;17712.0;2;"Block";3;5;"Plastic";"Ready To Use";"Full Ownership";52.2566872;20.9328927;"Bemowo";2006;"https://www.otodom.pl/pl/oferta/dwupokojowe-osiedle-zamkniete-przy-parku-ID4y2o4";14.91057961646197;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
-2584928789657076347;1140000.0;830.0;52.99;21513.0;3;"Block";0;5;"Unknown";"Ready To Use";"Full Ownership";52.219799810429;20.896981027006;"Bemowo";2018;"https://www.otodom.pl/pl/oferta/wysoki-standard-gotowe-duzy-ogrod-43-m-garaz-bemowo-ID4zuz7";15.663332704283826;1;0;1;0;0;0;1;1;1;0;0;"2026-01-01"
-951741821565558293;1131634.0;;74.45;15200.0;4;"Apartment";1;5;"Unknown";"To Completion";"Unknown";52.2326597;20.8968437;"Bemowo";;"https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-z-przepieknym-balkonem-ponad-16m2-metro-ID4zvaA";;1;1;1;0;0;0;0;1;0;0;1;"2026-01-01"
-4972992191619270260;1414987.0;;90.0;15722.0;5;"Apartment";1;5;"Unknown";"To Completion";"Unknown";52.227951;20.8806267;"Bemowo";;"https://www.otodom.pl/pl/oferta/piekny-apartament-4-5-pokojowy-z-tarasem-i-loggia-dwustronny-ID4zv41";;1;1;1;0;0;0;0;1;0;0;1;"2026-01-01"
6135538675914567048;779000.0;596.0;40.0;19475.0;2;"Apartment";3;6;"Unknown";"To Completion";"Full Ownership";52.2262956;20.8961344;"Bemowo";2024;"https://www.otodom.pl/pl/oferta/metro-ciche-z-tarasem-do-wlasnej-aranzacji-ID4yalX";14.9;1;1;1;0;1;0;0;1;0;0;0;"2026-01-01"
8598290777379071439;1220000.0;950.0;84.18;14493.0;3;"Apartment";3;4;"Plastic";"Ready To Use";"Full Ownership";52.242095147758;20.899107559741;"Bemowo";2005;"https://www.otodom.pl/pl/oferta/sprzedaz-84m2-3-pokoje-2-garaze-bemowo-gorce-ID4z04n";11.285340936089332;1;1;1;0;0;0;0;0;0;0;0;"2026-01-01"
364801153687380726;599000.0;;50.37;11892.0;2;"Block";3;4;"Plastic";"To Renovation";"Limited Ownership";52.2252833;20.9078407;"Bemowo";1976;"https://www.otodom.pl/pl/oferta/2-pokoje-i-loggia-i-piwnica-ID4zvD6";;0;1;0;1;1;0;0;0;0;0;0;"2026-01-01"
-6689509199613163153;1387150.0;;75.66;18334.0;3;"Block";3;3;"Plastic";"To Completion";"Full Ownership";52.235746821295;20.892450317823;"Bemowo";2028;"https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-75m2-balkon-bez-prowizji-ID4z7Bf";;1;1;1;0;0;0;0;0;0;0;1;"2026-01-01"
5628097892229383657;729000.0;897.0;48.85;14923.0;3;"Block";7;10;"Plastic";"To Renovation";"Limited Ownership";52.2238153;20.9126531;"Bemowo";1975;"https://www.otodom.pl/pl/oferta/widok-jak-z-pocztowki-3-pokoje-na-bemowie-ID4xOtM";18.362333674513817;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
-4893631302765414770;775000.0;650.0;44.0;17614.0;2;"Block";0;5;"Plastic";"Ready To Use";"Full Ownership";52.2458329;20.8988579;"Bemowo";2018;"https://www.otodom.pl/pl/oferta/dwa-pokoje-z-ogrodkiem-26-m2-metro-ID4zpA0";14.772727272727273;1;0;1;1;0;0;0;0;1;0;0;"2026-01-01"
